x1,x2,x3,x4,x5,x6,x7,x8,class
-7.7663,0.29277,-4.1325,-2.1109,-8.8561,-0.64455,-6.1904,-2.6907,5
-7.4627,-10.332,-5.234,-7.1838,-10.755,-7.3838,-12.742,-7.0908,5
-10.604,-7.4943,-6.1075,-7.8019,1.0783,-4.7357,2.8835,-9.8383,3
-3.5008,-4.2107,-5.4496,-5.1018,-3.3923,-3.774,-3.86,-2.6084,3
18.967,16.162,23.544,20.037,19.308,27.645,19.138,18.725,4
-6.9429,-5.3921,-4.3977,-4.7977,-6.1685,-11.084,-5.9197,-4.769,5
13.071,13.557,10.938,10.689,8.7913,10.806,8.0566,13.045,2
-1.8346,-4.4651,-2.137,-3.4265,-3.6134,-3.591,-4.6808,-3.3504,3
9.9435,20.736,19.049,16.415,11.539,15.838,14.235,16.994,4
16.477,33.945,21.334,23.679,25.507,22.408,26.787,11.525,4
-4.0087,-1.3226,-0.16659,-6.2448,-3.7304,-3.1025,-2.6125,-4.6939,3
8.8328,7.0314,4.9406,3.9038,4.3199,5.8713,5.2685,7.8528,1
-3.379,-6.1235,-7.4455,-4.5437,-2.61,-2.7687,-4.8179,-1.6752,3
4.8666,7.8646,11.161,4.6441,6.2319,6.3134,8.144,8.9924,1
11.787,10.154,12.47,11.582,10.763,9.8409,8.2049,9.1215,2
-5.0301,-8.1514,-10.855,-8.5448,-11.055,-7.0666,-9.7829,-5.8647,5
12.496,15.341,15.58,11.09,16.362,10.871,14.917,12.844,2
-10.995,-12.287,-10.566,-6.3098,-5.1722,-6.968,-9.184,-6.8721,5
-4.431,-10.808,-9.0547,-8.2895,-4.5087,-17.384,-5.9337,-4.378,5
9.1783,5.1119,6.545,7.0513,3.8425,5.7361,6.8346,6.3495,1
-12.825,-9.2128,-8.7019,-11.718,-2.9109,-6.6114,-7.8183,-9.202,5
12.764,14.413,22.668,20.708,13.607,15.215,17.832,18.243,4
19.788,19.097,17.414,16.993,17.906,20.898,17.756,16.643,4
16.834,16.629,15.219,20.535,17.942,11.925,17.968,19.06,4
23.111,22.025,15.586,23.023,22.791,20.96,18.493,16.391,4
20.721,19.068,20.399,20.512,31.665,21.847,19.158,21.636,4
5.6431,10.061,2.4307,8.2968,6.7897,7.7776,4.9356,3.1116,1
-0.50436,-4.2278,-6.667,-8.6861,-3.9946,-6.612,-8.0502,-5.1317,3
-7.9209,-2.5658,-4.6585,-6.9626,-8.1131,-4.3185,-2.1691,-2.9562,5
5.4365,-4.7169,-3.7815,-6.6591,-1.2507,2.6863,-7.8926,0.62854,3
-10.7,-10.212,-8.0808,-9.9905,-15.364,-1.7203,-9.6639,-7.3003,5
-11.166,-5.914,-6.6181,-2.3367,0.20426,-7.2546,-1.8475,-1.9571,3
4.7426,6.8518,6.9992,2.527,4.9583,2.6132,2.9362,4.2482,1
-5.6247,-5.021,-4.1436,-1.314,-1.5034,-2.3285,-3.3141,-1.3346,3
-5.0936,-5.643,-1.419,-0.59266,-2.0166,-8.6947,-6.1128,-2.4976,5
-2.4621,-3.9255,-2.9309,-3.5922,-3.3263,-5.3657,-3.4731,-3.1529,3
-11.415,-4.8305,-8.2894,-0.59687,-1.9069,-7.6787,-1.1646,-4.5286,3
-6.8982,-7.0761,-3.0987,-3.888,-2.924,-3.5485,-1.6732,1.2515,5
13.537,12.287,12.823,11.307,13.41,14.607,13.404,12.337,2
-17.685,-7.5543,-6.0469,-7.2443,-6.8277,-10.954,-5.5833,-6.9267,5
25.289,19.303,22.005,21.016,21.698,22.209,26.531,17.866,4
-11.143,-6.8188,-10.096,-10.728,-10.084,-8.5326,-12.246,-10.924,5
-3.9236,-4.0206,-2.8024,-3.8716,-2.7934,-4.9243,-3.5228,-1.5865,3
17.814,28.531,19.174,16.379,22.099,15.51,24.809,21.938,4
-1.1869,-4.6352,-4.1144,-3.7107,-3.1052,-4.6688,-3.4727,-3.9674,3
1.4584,0.62636,-8.8229,-0.83592,-6.6757,-2.6616,1.2273,-6.4976,5
8.33,3.1448,4.0205,4.67,6.3438,7.0428,6.9475,5.2303,1
8.0311,9.0004,2.9219,5.3461,7.0964,4.5013,5.0266,6.1956,1
-1.1127,-7.763,-3.0803,-2.9881,-1.2127,-5.9775,-5.8556,-4.9212,5
-3.6634,-4.006,-1.5172,-3.6866,-4.9602,-3.8676,-4.5195,-4.4516,3
5.2041,3.6408,5.9565,0.48471,7.7701,5.7148,4.5757,4.8518,1
4.3478,3.6465,3.8907,6.2452,7.2413,7.961,4.8849,5.3381,1
-5.4033,-3.2163,-7.5546,-2.983,-3.7066,-6.2105,-3.3914,-0.96815,5
-3.7241,-5.0628,-2.9518,-3.5114,-3.6236,-3.7915,-4.3749,-3.3693,3
0.3396,-4.5221,3.2446,-9.2262,-8.8924,0.73844,-4.3164,-9.7245,3
-4.8728,-4.6728,-3.6833,-4.2462,-3.0392,-2.921,-2.686,-3.408,3
7.6732,7.5506,3.8942,8.2935,3.4384,6.2674,5.9727,6.8842,1
-0.55879,-4.9713,-4.0892,-3.6396,-9.0471,-3.2883,-1.6553,-3.9371,5
19.734,31.136,19.624,20.226,25.87,23.657,21.516,24.75,4
0.32411,-3.0218,0.11629,-5.8581,-2.9016,-4.6389,-2.6553,-2.08,5
-5.7449,-1.688,-7.2612,-0.84791,-5.5841,-0.21744,-2.104,-7.5761,3
1.1679,-5.6274,-4.7837,-0.13687,-6.7266,-0.32464,-3.1389,-11.089,3
12.891,15.877,10.444,12.517,16.072,12.727,14.481,7.1513,2
5.3343,10.911,9.7933,13.218,9.1978,8.2439,13.471,15.124,2
-6.3767,-7.8278,-2.291,-8.898,-0.52425,-12.784,-1.8741,-5.6645,3
26.572,25.441,22.369,16.821,25.422,22.417,20.142,22.889,4
18.198,11.77,16.791,13.076,18.381,18.953,17.199,19.436,4
-6.928,-5.0383,-6.1553,-4.3877,-0.22964,-0.42153,0.8349,-7.2393,5
4.2235,4.0156,-0.10541,8.6629,5.4308,3.0261,4.6786,4.5485,1
-9.0998,-11.62,-11.529,-10.036,-7.1805,-8.089,-6.1172,-10.556,5
10.265,15.821,15.269,11.497,15.73,9.6843,11.056,8.6011,2
8.4059,3.1404,10.366,7.517,3.8813,5.0741,6.0648,6.3127,1
8.8058,7.0378,6.2361,4.9148,5.5138,7.9318,5.0992,5.5508,1
-3.3676,-3.7531,-5.584,-4.1303,-3.3823,-3.0886,-4.23,-2.3574,3
22.448,22.952,16.499,14.703,19.079,17.67,24.724,25.557,4
-3.0908,-4.4743,-4.5138,-4.0415,-3.964,-4.4084,-2.8884,-2.7588,3
23.378,16.113,21.235,20.717,12.511,21.491,19.204,12.603,4
-2.615,-0.41805,-4.0873,-3.242,-10.395,-5.5293,-6.0999,-8.6298,3
-3.5634,-3.8511,-3.4704,-4.827,-2.671,-4.2629,-4.9011,-3.9249,3
12.86,11.843,12.767,15.636,12.358,15.404,14.969,15.667,2
5.8449,6.0146,6.3839,6.6356,6.5981,7.2541,6.8623,7.5042,1
13.333,8.9886,12.848,11.162,12.592,11.277,15.078,13.391,2
-4.5499,-3.8621,-3.3945,-2.0742,-3.8472,-2.9941,-3.2614,-4.9082,3
-3.957,-6.5981,-6.6075,-7.6732,-10.614,-8.4186,-5.6081,-10.713,5
-3.8734,-8.2173,-7.6095,-10.737,-7.8922,-14.095,-1.4346,-13.247,5
14.921,24.14,17.128,14.768,23.488,18.259,13.215,13.947,4
-3.5168,-3.205,-4.5624,-3.5232,-3.2094,-2.6526,-3.9678,-2.1517,3
26.375,21.555,19.307,20.214,24.25,20.068,18.599,15.876,4
10.711,12.717,12.18,10.509,12.479,12.93,14.235,17.072,2
6.3078,6.506,14.881,5.6996,9.6145,16.085,16.023,15.602,2
5.7694,6.1182,6.7974,6.4874,3.8032,6.0822,8.3664,6.3562,1
-7.6132,-8.0569,-7.2606,-4.9369,-7.1466,-2.6974,-4.559,-4.7378,5
-10.163,-8.9871,-0.059795,-10.291,-4.746,-12.074,-2.0746,-7.9971,5
14.315,19.444,16.848,20.145,18.037,15.397,18.335,15.114,4
11.159,13.053,11.172,15.073,12.2,14.764,10.824,14.175,2
-10.203,-6.9302,-14.094,-7.9376,-13.727,-3.9546,-6.2901,-13.689,5
-11.87,-5.0117,-4.6528,-0.58976,-8.244,-10.794,-5.612,-15.703,5
11.046,19.234,14.899,15.906,17.357,14.817,15.58,14.383,4
15.755,13.238,15.891,17.12,17.87,12.075,18.734,16.761,4
17.491,22.795,17.058,22.056,16.398,15.006,13.002,19.097,4
-7.5119,-9.9918,-7.5386,-12.001,-5.6551,-8.9097,-7.0569,-2.5395,5
-1.1217,-1.6234,-3.9372,-0.57264,-0.32335,-7.85,-0.7487,-7.1916,3
12.272,21.13,20.401,13.779,14.025,20.919,13.988,14.798,4
5.3539,6.9072,7.8925,7.612,2.1963,5.4035,7.281,7.7947,1
-2.8029,-2.7785,-3.644,-3.6978,-4.0223,-4.302,-3.9223,-4.1382,3
21.265,23.875,15.285,22.267,22.089,22.264,25.279,23.014,4
-9.1513,-3.3582,-8.7707,-3.4692,-10.476,-7.5004,-11.9,-12.632,5
6.9417,7.0436,15.678,12.944,6.0273,7.8513,6.6717,9.9263,2
6.2065,7.1927,7.3158,6.836,5.6734,4.9021,5.7339,7.1759,1
-9.0903,-2.2947,-8.666,-5.2819,-6.5705,-5.0025,-4.7462,-6.5127,3
5.7313,6.3059,5.9639,7.4889,8.1856,6.9202,5.8962,3.3403,1
-2.8289,-2.9402,-3.7671,-3.5893,-4.9037,-4.2727,-4.165,-4.2048,3
-10.181,-10.173,-14.283,-2.9222,-10.072,-4.355,-10.823,-8.4173,5
7.0322,6.6787,4.8508,6.0118,8.0412,6.5072,8.8746,7.5916,1
5.905,9.7914,9.0985,6.726,3.331,9.8916,9.2369,7.2785,1
4.7347,2.9057,6.7991,7.7849,7.9757,5.148,7.8353,9.3723,1
9.0928,7.7723,5.9716,4.1072,5.3037,6.3842,2.2798,5.8915,1
15.389,12.219,12.563,7.5596,10.232,14.081,7.9959,6.8381,2
-5.7107,-2.7764,-1.3228,-3.2068,-0.13506,-3.4984,-9.4052,-5.8587,5
-3.8007,-4.8595,-3.4793,-3.8218,-3.5026,-2.8504,-3.3588,-3.0568,3
7.7046,6.402,13.341,9.2737,11.259,9.4734,12.576,8.6514,2
-5.4228,-7.8521,-3.5488,-6.0658,-7.1425,-4.602,-8.2706,-1.5817,3
-5.1707,-5.8248,-4.7449,-7.1064,-10.08,-10.451,-5.821,-10.467,5
-6.25,-1.2981,-3.9295,-5.4612,-4.7545,-5.4982,-8.0456,-0.49031,3
14.772,17.474,22.645,18.932,17.457,19.075,20.108,19.3,4
-7.4971,0.094053,0.72751,-7.9428,-4.8797,-1.691,-4.32,1.6329,5
17.796,19.852,23.434,20.76,15.625,26.759,18.034,19.656,4
-2.7663,-4.8768,-2.665,-3.2106,-2.641,-3.3275,-4.0809,-2.9684,3
5.8467,9.5807,7.3986,4.595,5.5247,5.9033,7.2451,4.0616,1
8.6789,5.2291,9.3669,4.8779,5.4649,6.7808,5.3654,4.1418,1
14.181,14.365,9.6241,10.962,11.419,11.635,6.864,11.345,2
-2.1635,-5.7225,-7.7404,-6.3086,-11.555,-5.6419,-8.3312,-9.4411,5
14.056,13.808,12.093,14.19,15.139,12.746,12.538,12.985,2
-6.7075,-11.127,-9.9319,-5.1258,-8.3106,-6.3854,-12.189,-9.5726,5
2.1635,-4.4319,-4.3581,-5.5873,0.25457,-0.19748,-4.9016,-5.5578,5
6.6322,5.301,6.5983,7.4987,1.1425,6.813,6.367,4.8365,1
17.676,12.84,12.918,18.501,14.378,14.018,15.793,14.28,4
13.709,21.29,21.385,25.92,21.11,21.567,19.562,24.512,4
7.6223,4.695,11.039,8.7468,13.191,8.7781,9.7391,19.335,2
-7.1687,-10.524,-9.0391,-4.8627,-10.937,-11.163,-8.3944,-5.1076,5
28.096,23.188,19.158,17.492,12.89,32.233,19.59,20.395,4
-5.595,-9.9493,-10.049,-5.6623,-11.096,-3.2905,-10.059,-10.707,5
-12.133,-11.436,-5.8445,-12.022,-7.0331,-6.1819,-8.9521,-6.7316,5
8.2492,4.8185,6.3933,8.4486,9.4577,5.4087,5.406,4.4527,1
19.303,16.153,14.904,17.116,17.586,16.569,16.558,18.951,4
-0.63222,-0.054757,3.5172,-5.4652,0.22618,-0.34453,-1.6199,-5.4986,3
5.7221,7.5628,10.37,6.1836,6.606,5.9869,7.2389,4.6876,1
4.3402,8.0167,5.0398,7.4858,7.3122,8.3913,7.2124,3.5012,1
5.9004,5.0378,5.9503,7.7629,7.4106,0.78475,4.9162,2.7325,1
6.2136,3.4486,5.3194,7.9954,6.599,2.5955,6.7495,1.4871,1
-4.4286,-12.057,-7.3615,-7.1625,-6.8364,-6.6213,-6.9461,-16.016,5
-4.447,-13.416,-10.528,-13.382,-6.842,-3.2897,-13.882,-5.9041,5
11.544,19.727,14.798,15.588,19.327,17.881,11.727,10.984,4
-9.1496,-7.0278,-7.7991,-12.416,-5.4904,-6.7454,-10.215,-4.7293,5
7.0436,6.7457,6.4986,9.1917,1.7082,5.5914,3.8213,7.2072,1
9.9168,11.551,14.811,13.925,10.475,13.273,12.357,12.822,2
-9.1871,-9.6709,-5.4721,-2.9055,-8.4904,-7.3292,-12.243,-8.2851,5
5.6474,3.3527,7.2235,4.9819,6.5445,3.2666,6.804,3.8507,1
5.7134,4.5246,7.0307,5.2148,4.7829,7.721,7.7924,5.1657,1
3.2174,3.082,7.1917,5.3256,7.4516,4.9725,4.8132,5.9392,1
12.843,17.196,15.789,22.275,11.932,14.367,14.314,24.951,4
12.133,11.282,11.832,10.681,12.418,10.05,14.787,10.314,2
-10.631,-5.9963,-5.4477,-4.4602,-6.6965,-5.8867,-8.2393,0.71048,5
-7.8654,-3.4634,-7.5941,-4.2917,-0.99063,-8.1806,-3.4492,-2.3311,5
-9.0146,-7.3372,-9.2648,-9.3269,-8.9386,-6.2009,-3.3648,-2.4749,3
11.081,10.401,8.7438,6.0599,9.3023,14.735,8.9011,12.026,2
9.0481,11.251,6.9967,13.494,14.042,12.515,8.3623,6.8837,2
3.4953,-0.9283,-1.8539,-6.023,-7.0213,-3.0829,-3.8794,0.11533,5
12.068,12.57,14.566,16.041,11.797,10.704,11.217,15.231,2
19.508,15.179,18.741,25.044,18.889,14.825,15.424,12.352,4
4.1104,6.003,0.76405,5.8616,1.5099,4.7761,4.6105,5.6659,1
-6.4667,-2.317,-6.5474,3.2698,-2.7232,-3.8687,0.1492,-7.1425,5
27.684,23.648,20.146,15.527,20.991,15.488,12.842,25.232,4
9.4514,13.35,12.941,13.528,14.043,13.003,12.659,10.963,2
11.736,1.3464,4.7719,6.2546,5.3407,2.0716,3.6632,4.8375,1
19.198,25.505,19.478,26.338,21.051,24.192,23.264,22.868,4
15.531,20.167,24.093,27.288,17.304,22.079,19.89,14.05,4
-7.1476,-1.8609,-8.234,-6.9164,-5.4164,-3.4318,-0.75252,-3.7395,3
8.6604,9.2777,12.442,9.6952,8.3535,4.7145,13.012,7.6542,2
7.9618,11.437,14.195,12.312,11.395,16.715,15.278,11.539,2
8.7452,13.908,13.314,6.3021,9.7197,6.8027,7.8119,10.554,2
15.608,15.713,18.081,14.174,14.058,25.237,21.775,16.533,4
-4.1675,-3.5399,-3.4762,-4.3098,-3.1472,-1.8211,-3.6978,-3.8126,3
-0.10422,-2.2395,-6.2667,-4.1463,-1.9156,-5.1599,-0.57546,1.6665,3
22.624,22.09,24.023,17.275,24.195,20.348,22.338,19.952,4
-4.7585,-3.6082,-3.7541,-1.6157,-2.2374,-3.9379,-2.6496,-2.9213,3
9.2724,17.062,9.8552,13.975,12.873,10.351,7.5588,5.3469,2
-7.6275,-8.523,-6.8614,-6.9987,-8.7153,-13.292,-8.3371,-9.8155,5
-8.6681,-1.3416,-3.2386,-1.8214,-0.8017,-8.5045,-2.2435,-3.2414,5
22.22,13.692,18.972,17.427,22.813,22.777,20.034,13.775,4
-7.1149,-7.4313,-13.804,-7.1363,-5.9362,-12.426,-7.3289,-5.7831,5
-9.363,-4.4078,-4.0357,-9.0262,-1.8459,-2.5208,-6.1628,-3.2871,5
-7.5541,-7.6608,-6.444,-13.857,-9.4368,-11.978,-6.0381,-10.432,5
7.9225,10.276,6.0849,11.572,11.211,14.03,4.1306,10.515,2
-5.4031,-5.8628,-5.4182,-9.8468,-4.3427,-1.3827,1.3948,-1.4016,5
10.267,8.9808,19.521,16.254,9.6455,10.609,7.7402,5.6528,2
1.055,4.6093,4.8092,2.0314,6.0224,2.5243,4.8357,9.1918,1
10.403,2.2036,5.6699,5.947,0.1628,6.9065,10.129,5.093,1
15.636,14.347,11.36,16.317,8.9033,14.563,14.77,20.118,2
7.0013,6.6535,8.0041,7.6509,6.8898,4.6207,8.7106,8.303,1
-6.1188,-8.5606,-6.4653,-3.9648,-5.0175,-0.7339,-4.9182,-7.8522,5
-6.8987,-4.2054,-2.5491,-3.5469,-3.136,-3.1102,-4.5887,-7.6037,3
-1.3566,-4.9765,-2.7274,-0.63774,-3.6349,-6.3971,-3.6018,-2.2532,5
-6.0716,-4.2553,-5.265,-5.764,-2.3995,-5.7135,-3.4801,-1.3295,5
17.207,14.943,16.512,17.53,15.123,17.048,17.197,15.952,4
-6.0286,-8.3055,-1.7141,-1.8327,-2.2315,-4.4186,-5.4126,-3.8499,3
-0.15729,-8.0408,-10.561,-12.232,-11.725,-3.7365,-5.9191,-8.121,5
15.682,10.913,17.043,17.116,13.774,17.088,18.641,19.774,4
12.596,15.375,12.955,10.83,15.127,14.843,10.182,10.461,2
4.9685,7.4455,6.1645,7.2037,6.2804,4.9518,3.9405,5.6261,1
5.3894,6.0849,3.6195,2.0174,9.1367,2.0283,5.9946,5.5401,1
15.127,9.2854,7.6314,9.8805,11.77,10.467,17.51,11.343,2
-5.4317,-3.9465,-1.3605,-6.8562,-5.3716,-2.1499,-1.665,0.2349,5
17.908,21.192,15.522,15.869,15.323,14.669,14.699,23.247,4
19.112,17.153,20.323,22.512,22.99,17.829,14.276,13.455,4
10.856,16.034,20.173,11.742,19.513,14.251,12.832,19.421,4
-3.3785,1.5577,-2.7317,-0.94866,-5.5205,-5.5783,-0.85259,-7.9587,5
7.5919,4.3334,4.7801,7.341,3.5112,5.6768,3.5518,3.4924,1
11.178,9.7901,15.343,15.263,14.831,17.548,15.474,8.9922,2
-0.10198,13.391,8.0863,7.3124,13.409,10.454,12.634,12.863,2
10.288,12.66,12.308,13.745,10.634,10.769,12.774,11.064,2
10.83,15.324,10.986,7.01,11.029,13.42,5.7407,18.297,2
13.483,11.663,15.125,19.079,20.771,16.384,15.733,16.796,4
10.665,9.1582,8.9496,8.9358,9.8464,11.124,6.1646,15.959,2
6.7014,3.6506,5.0956,7.1802,4.0408,6.5766,4.5909,7.1376,1
-4.1727,-3.3721,-2.242,-3.7767,-2.3117,-4.181,-3.6534,-4.4322,3
11.409,17.081,10.139,5.2402,10.374,13.711,12.654,12.309,2
-4.5098,-4.6863,-4.0813,-2.5396,-1.9273,-0.86839,-1.8746,-6.5631,5
-6.1238,-6.1931,-6.6862,-2.5496,-4.1668,-5.7094,-2.5928,-3.3712,5
7.2607,1.8852,5.0373,6.23,5.6852,6.7385,4.2991,8.9707,1
6.7841,5.27,7.599,5.4454,5.6662,6.3932,4.1308,6.9501,1
-5.226,0.55711,-5.8678,-3.2488,-3.4945,-4.1228,1.3187,-6.4267,5
-8.0295,-4.4832,-6.5478,-3.2356,-2.1414,-1.3153,-4.1667,-8.476,3
8.1306,6.988,5.7119,13.421,11.121,8.9699,12.51,9.3686,2
4.5303,5.5453,4.2849,2.4637,6.742,2.06,4.8681,5.7613,1
17.442,15.691,13.46,20.075,15.25,13.51,12.201,16.608,4
-7.6631,-4.7963,-4.686,-7.5119,-9.6014,-3.3929,-10.514,-12.421,5
-9.7073,0.65266,-7.9179,-5.8493,-11.468,-12.506,2.8378,-3.5029,5
-4.2396,-3.8016,-3.8532,-4.9265,-3.653,-4.4983,-4.9819,-3.8806,3
-9.0132,-6.6342,-1.3207,-0.8824,-6.6783,-3.808,-3.1099,-6.3108,3
-1.2612,-5.9986,-4.0113,-2.9389,-2.5071,-7.6439,-5.0083,-5.9529,5
2.73,-3.0691,-6.5951,-7.7984,-10.196,-6.6583,-1.3573,-3.0588,5
6.4324,6.3191,0.0055587,3.9588,6.9315,3.3311,5.2993,9.3236,1
-7.2783,-4.422,-2.774,-5.5405,-8.5415,-6.9678,-11.206,-9.0353,5
10.267,11.771,10.69,17.031,13.027,4.7033,11.407,9.3173,2
-3.1978,-2.8812,-3.3548,-3.7279,-3.9533,-4.8595,-3.4446,-3.0228,3
12.791,15.836,15.72,14.162,7.6045,9.7079,11.327,11.047,2
17.925,18.453,17.762,20.531,15.183,13.306,18.046,16.768,4
17.639,17.821,19.363,21.343,21.01,19.217,9.5081,13.77,4
-2.4058,-3.8706,-2.6008,-3.5571,-3.7332,-5.4602,-2.3599,-3.3429,3
14.813,13.39,11.325,13.126,11.741,11.068,13.154,9.9505,2
20.226,25.828,19.218,22.888,13.709,25.205,17.997,21.242,4
15.066,22.335,21.776,23.676,17.618,22.05,20.609,13.792,4
15.553,9.7902,9.4374,14.211,10.222,13.908,13.901,10.858,2
14.042,8.5384,9.7034,12.242,12.055,16.741,12.374,10.433,2
